,insight_types,content,related_feedbacks
121,['Point de douleur'],"Difficultés pour les petits commerces à bénéficier des offres 'acheter plus, payer moins' en raison de l'espace de stockage limité",[81]
122,['Point de douleur'],Le service Click & Collect est insatisfaisant en termes de gamme de produits et de certains produits non fournis par Metro.,[82]
123,['Point de douleur'],Les frais de préparation Click & Collect sont jugés trop élevés et devraient être réduits.,[82]
124,['Point de douleur'],Problèmes fréquents de rupture de stock au dépôt de Gerland,[83]
125,['Nouvelle demande'],Demande de rattachement au dépôt de Limonest pour éviter les ruptures de stock,[83]
126,['Point de douleur'],Insatisfaction quant à la politique de prix post-achat et manque de gestes commerciaux,[84]
127,['Point de douleur'],Complexité et problèmes de l'expérience de livraison chez Metro avec des manques de produits sur le site,[85]
128,['Point de douleur'],Personnel du département des fruits et légumes perçu comme très désagréable et peu coopératif.,[86]
129,['Point de douleur'],Fréquentes ruptures de stock pénibles nécessitant de multiples visites.,[87]
130,['Point de douleur'],La distance à parcourir pour accéder aux points de vente est trop importante,[88]
131,['Point de douleur'],Réduction de la diversité de l'offre et augmentation des manquants chez Metro,[89]
132,['Point positif'],Préférence pour Metro pour la diversité des produits dans un même magasin,[89]
133,"['Point de douleur', 'Nouvelle demande']",Produits offerts à des prix moins compétitifs par rapport aux concurrents et en plus ces derniers offrent la livraison,[90]
134,['Point positif'],Les clients apprécient la stabilité des prix.,[91]
135,['Point de douleur'],Incohérences entre les prix affichés dans les rayons et en caisse,[92]
136,"['Point de douleur', 'Nouvelle demande']",Manque d'offres spéciales sur des produits fréquemment achetés,[93]
137,['Point de douleur'],Machine de congélation en panne depuis plusieurs semaines,[94]
138,['Point de douleur'],"Client parcourt 50 km pour accéder au magasin, ajoutant à l'inconfort du service défectueux",[94]
139,['Point de douleur'],Nécessité d'une meilleure compréhension client face à des problèmes.,[95]
140,"['Point de douleur', 'Service global']",Ruptures régulières et prévenance tardive des ruptures rendant la réorganisation difficile,[96]
141,"['Point de douleur', 'Service global']",Certains produits ne sont plus commandables,[96]
142,['Point de douleur'],Perception d'un manque de service malgré un coût élevé des produits,[96]
143,['Point de douleur'],"Problèmes d'approvisionnement importants à La Rochelle, privilégiant d'autres régions comme Bordeaux",[97]
144,['Point de douleur'],Système de livraison inadéquat conçu sans considération pour les besoins de la restauration,[97]
145,['Point de douleur'],Augmentation régulière et fréquente des prix des produits.,[98]
146,"['Point positif', 'Service global']",Appréciation de la disponibilité des conseillers et de l'organisation du rayon traiteur.,[99]
147,"['Point positif', 'Service global']",Satisfaction vis-à-vis de l'écoute du personnel en service traiteur.,[99]
